Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Tue Jun 16 2026 10:47:01 GMT-0600


Campaign ID,6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills,Video Error,Video Start,Video Skip,Video 25% Complete,Video 50% Complete,Video 75% Complete,Video 100% Complete,Mid-points,Completions,Completion rate,Cost per completed view (CPCV)
323379,"Genetix Biotherapeutics","United States","genetixbiotx.com","435","1","$3.29",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Genetix Biotherapeutics","United States","genetixbiotx.com","342","0","$2.65",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Genetix Biotherapeutics","United States","genetixbiotx.com","31","0","$0.29",-,2026-06-14,"0","12","23","0","12","12","11","6","12","6","19.35%","$0.05"
324978,"Genetix Biotherapeutics","United States","genetixbiotx.com","17","0","$0.15",-,2026-06-15,"0","3","11","0","10","8","8","7","8","7","41.18%","$0.02"
323379,"Genentech","United States","gene.com","3,421","0","$25.91",New,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Genentech","United States","gene.com","2,921","2","$22.60",New,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Genentech","United States","gene.com","580","0","$5.26",-,2026-06-15,"0","17","573","0","411","339","244","174","339","174","30.00%","$0.03"
324927,"Genentech","United States","gene.com","717","0","$6.66",-,2026-06-15,"0","17","709","1","525","435","327","248","435","248","34.59%","$0.03"
323379,"Gameto","United States","gametogen.com","14","0","$0.10",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Ferring Uro-Oncology","United States","ferringusa.com","4","0","$0.03",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Dendreon","United States","dendreon.com","6","0","$0.06",-,2026-06-14,"0","0","6","0","3","3","3","2","3","2","33.33%","$0.03"
323379,"Dendreon","United States","dendreon.com","271","0","$2.05",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Dendreon","United States","dendreon.com","225","0","$1.74",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Dendreon","United States","dendreon.com","2","0","$0.02",-,2026-06-14,"0","0","2","0","2","1","1","1","1","1","50.00%","$0.02"
324978,"Denali Therapeutics","United States","denalitherapeutics.com","13","0","$0.12",-,2026-06-15,"0","1","13","0","9","7","6","6","7","6","46.15%","$0.02"
323379,"Denali Therapeutics","United States","denalitherapeutics.com","349","0","$2.64",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Cook MyoSite","United States","cookmyosite.com","290","0","$2.20",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Cook MyoSite","United States","cookmyosite.com","2","0","$0.02",-,2026-06-15,"0","0","2","0","2","2","1","0","2","0","0.00%","$0.00"
323379,"CellTrans","United States","celltransinc.com","6","0","$0.05",-,2026-06-08,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"CellTrans","United States","celltransinc.com","5","0","$0.04",-,2026-06-08,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Castle Creek Biosciences, LLC","United States","castlecreekbio.com","17","0","$0.13",-,2026-06-14,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Cartesian Therapeutics","United States","cartesiantherapeutics.com","72","0","$0.55",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Capricor Therapeutics, Inc.","United States","capricor.com","45","0","$0.34",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Capricor Therapeutics, Inc.","United States","capricor.com","6","0","$0.05",-,2026-06-15,"0","0","6","0","6","5","1","0","5","0","0.00%","$0.00"
323379,"Candel Therapeutics","United States","candeltx.com","60","0","$0.45",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Candel Therapeutics","United States","candeltx.com","2","0","$0.02",-,2026-06-15,"0","0","2","0","2","2","2","2","2","2","100.00%","$0.01"
323379,"Cabaletta Bio","United States","cabalettabio.com","120","0","$0.91",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Cabaletta Bio","United States","cabalettabio.com","2","0","$0.02",-,2026-06-15,"0","1","2","0","1","0","0","0","0","0","0.00%","$0.00"
323380,"CSL","United States","csl.com","951","1","$7.36",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"CSL","United States","csl.com","69","0","$0.63",-,2026-06-15,"0","3","68","0","43","36","29","22","36","22","31.88%","$0.03"
323379,"CSL","United States","csl.com","1,107","0","$8.39",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"CSL","United States","csl.com","130","0","$1.21",-,2026-06-15,"0","3","126","1","86","69","58","42","69","42","32.31%","$0.03"
324978,"CG Oncology","United States","cgoncology.com","2","0","$0.02",-,2026-06-15,"0","0","2","0","1","1","1","1","1","1","50.00%","$0.02"
